"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1049","005 - scrollUntilVisible() - Scrolls to specific item","","Tue Dec 23 02:15:31 UTC 2025","passed","Tue Dec 23 02:15:32 UTC 2025","",".home.runner.work.fluttertest.fluttertest.test.long_list",".home.runner.work.fluttertest.fluttertest.test.long_list",""
"","846","CounterPage Isolated Tests 001 - enterText check","","Tue Dec 23 02:15:31 UTC 2025","passed","Tue Dec 23 02:15:31 UTC 2025","",".home.runner.work.fluttertest.fluttertest.test.counter",".home.runner.work.fluttertest.fluttertest.test.counter",""
"","685","013 - navigationPop() - Verify Back button functionality","","Tue Dec 23 02:15:31 UTC 2025","passed","Tue Dec 23 02:15:31 UTC 2025","",".home.runner.work.fluttertest.fluttertest.test.checkout",".home.runner.work.fluttertest.fluttertest.test.checkout",""
"","131","LoginPage Tests 007 -loginInvalidPassword() - Wrong password shows error message","","Tue Dec 23 02:15:31 UTC 2025","passed","Tue Dec 23 02:15:31 UTC 2025","",".home.runner.work.fluttertest.fluttertest.test.login",".home.runner.work.fluttertest.fluttertest.test.login",""
"","208","012 - dialogInteraction() - Open and close dialog","","Tue Dec 23 02:15:31 UTC 2025","passed","Tue Dec 23 02:15:31 UTC 2025","",".home.runner.work.fluttertest.fluttertest.test.todo",".home.runner.work.fluttertest.fluttertest.test.todo",""
"","53","LoginPage Tests 009 - validationEmptyFields() - Show error when fields are empty","","Tue Dec 23 02:15:31 UTC 2025","passed","Tue Dec 23 02:15:31 UTC 2025","",".home.runner.work.fluttertest.fluttertest.test.login",".home.runner.work.fluttertest.fluttertest.test.login",""
"","71","CounterPage Isolated Tests 004 - waitForAbsent logic","","Tue Dec 23 02:15:31 UTC 2025","passed","Tue Dec 23 02:15:31 UTC 2025","",".home.runner.work.fluttertest.fluttertest.test.counter",".home.runner.work.fluttertest.fluttertest.test.counter",""
"","112","CounterPage Isolated Tests 014 - counterIncrementRandom() - Tap N times (Random 2-6)","","Tue Dec 23 02:15:31 UTC 2025","passed","Tue Dec 23 02:15:31 UTC 2025","",".home.runner.work.fluttertest.fluttertest.test.counter",".home.runner.work.fluttertest.fluttertest.test.counter",""
"","776","011 - dismissItem() - Swipe to delete","","Tue Dec 23 02:15:31 UTC 2025","passed","Tue Dec 23 02:15:31 UTC 2025","",".home.runner.work.fluttertest.fluttertest.test.todo",".home.runner.work.fluttertest.fluttertest.test.todo",""
"","241","010 - checkoutFlow() - Successful checkout","","Tue Dec 23 02:15:31 UTC 2025","broken","Tue Dec 23 02:15:31 UTC 2025","",".home.runner.work.fluttertest.fluttertest.test.checkout",".home.runner.work.fluttertest.fluttertest.test.checkout",""
"","64","CounterPage Isolated Tests 003 - waitFor logic","","Tue Dec 23 02:15:31 UTC 2025","passed","Tue Dec 23 02:15:31 UTC 2025","",".home.runner.work.fluttertest.fluttertest.test.counter",".home.runner.work.fluttertest.fluttertest.test.counter",""
"","208","LoginPage Tests 008 - logout() - Logout button returns to Login Page","","Tue Dec 23 02:15:31 UTC 2025","passed","Tue Dec 23 02:15:31 UTC 2025","",".home.runner.work.fluttertest.fluttertest.test.login",".home.runner.work.fluttertest.fluttertest.test.login",""
"","198","CounterPage Isolated Tests 002 - tap check","","Tue Dec 23 02:15:31 UTC 2025","passed","Tue Dec 23 02:15:31 UTC 2025","",".home.runner.work.fluttertest.fluttertest.test.counter",".home.runner.work.fluttertest.fluttertest.test.counter",""
"","959","LoginPage Tests 006 - loginSuccess() - Correct input navigates to Home","","Tue Dec 23 02:15:31 UTC 2025","passed","Tue Dec 23 02:15:31 UTC 2025","",".home.runner.work.fluttertest.fluttertest.test.login",".home.runner.work.fluttertest.fluttertest.test.login",""
"","115","015 - productStatePersistenceRandom() - Random items survive navigation","","Tue Dec 23 02:15:31 UTC 2025","passed","Tue Dec 23 02:15:31 UTC 2025","",".home.runner.work.fluttertest.fluttertest.test.checkout",".home.runner.work.fluttertest.fluttertest.test.checkout",""
